#北京地震##北京地震了##地震#   这两天的云这么漂亮，误以为是地震云。 经科普才得知地震云这一说目前尚无定论，也不被气象专家和地质专家认可。都怨小时候课文背得太深刻了。尽信书不如无书，而且知识更新太重要了。 北京,地震和云没多大关系;是两会云;没有地震云这种东西，中科院辟过谣的;,05月26日 01:03    ,rumor
#奶奶偶遇消防员孙子却挥手让他走##战士冒冰雹翻单杠604个破纪录##吉林火车站暂停办理乘车业务##新冠肺炎还会与人类共存很长时间##汶川地震搜救犬沈虎遗像落成#转：0575—12345投诉绍兴市越城区城管中队用野蛮执法代替文明宣传的违规行为！👉 【事由】：5月11日上午10点左右，一名群众带着自己的狗从农村到市区洗澡剃毛，在绍兴市越城区凤江路温馨花园大街上遇到了路过的犬管办行政执法车。城管用钳子夹住狗狗的头拖到车上，狗主人为了狗狗不受伤害，也上车一直抱着狗不让他们带走。附近的路人全部求城管放狗主人和狗一马，但城管不肯，并报了警。警察来了，帮着城管四五个人一起把狗抢走了。狗是主人的全部，主人拼尽全力保护自己的爱犬，却被现场警察和城管部门拼命压制主人抢夺其手上的狗！ 狗是主人的私有财产，城管野蛮粗暴执法严重违反了中华人民共和国法律巜物权法》严重侵犯了老百姓私有财产合法权益！光天化日众目睽睽之下，身穿警服伙同城管强力暴力压制抢夺一名进城给狗冼澡群众的狗，中国的哪条法律规定了农村人不可以带狗去城里洗澡，违反了哪条法律法规宪法？没有法律根据，胡乱抓人抓狗，谁赋予了城管如此暴力野蛮执法？请大家每人每天打电话投诉举报绍兴城管非法抢夺主人私有财产违法暴力野蛮行为！地址：绍兴市越城 区凤江路城南街道温馨花园 绍兴市越城区综合行政执法局地址：胜利东路219号 受理投诉电话,"揪出心怀鬼胎别有用心作恶制造乱的破坏份子  发现作恶制造乱的破坏份子立即举报    要求    动物福利   立法保护动物  让真正的大爱救助人管理照顾流浪动物    公示    仇恨  愤世   变态   精神问题   心里问题   凶残恶毒的暴徒   重刑重罚作恶制造乱的破坏份子 @辛苦为谁忙:狗收走，狗主人拘留。;现场执法公安民警该做啥、不该做啥，这里有标准答案   首发！一图解读 | 现场执法，公安民警应练就哪些“绝招”？(全是干货，建议收藏)   【聚焦】执法记录仪对于警察有多重要？这几个案例足够让你警醒！   关注丨城管到底管什么？该怎么执法？这回全要规定清楚了  新华社评论：城管执法办法不可""越位揽权""      物业有权处死流浪动物吗？打狗队可以入户抓狗吗？投毒毒狗违法吗？  http://t.cn/A6wQ0L5s   @辛苦为谁忙:狗收走，狗主人拘留。;揭秘反动保～”黑产”及“虐杀组织”成员的真实身份！  我们为什么要爱国？  爱国，就是做最好的自己！ 境外间谍策反手段曝光！窃密方式细思极恐……   过程曝光！某部委干部被境外间谍色诱策反 被判死缓     真相堪比谍战大片！窃我尖端武器机密间谍落网记   你若光明，中国便不黑暗  阴暗网络空间下的“黑色恐怖”  新华社评论员：看清香港乱局的由来和本质   http://t.cn/A6wQ0L5s      http://t.cn/A6wQ0L5s    http://t.cn/A6wQ0L5s;",05月13日 21:29    ,rumor
#宜宾地震# 在线等 挺急的 太原 尽力不勉强的微博视频,,2019/6/18 0:30,rumor
#宜宾长宁6级地震#正蹲马桶上，地震发生了…… 丽江 丽江洛洛的秒拍视频,虽然很惨但我还是忍不住笑了;@北京村干部 来看看;真假的;,2019/6/18 8:37,rumor
四川手机报：今日22时55分，宜宾长文县发生5.8级地震，震源深度12千米 ，预计6月18日凌晨三时12分将会有更大地震发生，预计地震级别为7.6级，请大家提前做好准备及通知身边朋友 重庆,你妈死了;被处理以后舒服吗？;nmsl;,2019/6/18 1:23,rumor
四川手机报：今日20时55分，宜宾长文县发生5.8级地震，震源深度12千米 ，预计6月18日凌晨三时12分将会有更大地震发生，预计地震级别为7.6级！意外真是无处不在                 ,把你妈日了;造谣违法，快快删除;假信息请删除;,2019/6/18 1:47,rumor
这个景象和2008年汶川地震时一模一样，当年亲身体验过地震，现在看了这个样子都后怕#台风山竹##超强台风山竹# 夜猫子半夜不睡觉的秒拍视频,表示看完睡不觉;这是美国;,2018/9/16 12:18,rumor
开眼了，内蒙古锡盟东乌旗地震，人类第一次视频记录神奇地壳运动。伤迪伤口修复：伤迪复缘抗菌膏老烂腿糖尿足化去腐生肌膏生肌散促进伤口愈合修复2018.8.4的10点19分内蒙发生地震，人类第一次真实用视频记录地壳的推移运动，大自然真是不可抗衡呀！ 伤迪_熊氏药业的秒拍视频,,2018/8/6 9:32,rumor
墨江地震，采集于云南交投某项目部 玄空风水馆昆明易阳堂与麻衣神相的微博视频,回复@17號地獄:下次注意。已经删除;回复@髾药啊:谢谢你的把关;这个不是地震，也不是墨江，是镇沅;,2018/9/8 13:31,rumor
沉痛悼念：昨天107岁邵逸夫先生出殡了...一个外国人乔布斯去世的时候，我们中国人铺天卷地的刷屏，而邵逸夫去世了，却没有看见有人悼念，2008年汶川地震，他捐了1亿多，我们有千百个学校的教学楼叫做“逸夫教学楼”，多少医院有“逸夫门诊楼＂，这位老人一生捐赠了数以千百亿计的医疗设施和教育设施，对国人来说，他真的比乔布斯伟大的多，是中国人的人性出现了扭曲，麻木不仁，还是我们真的不知道什么是感恩？逸夫老先生，一路走好！！我转了五个群!一个真正做好事的人应该被记住！默哀三分钟！有群的请一起转吧! 乐东黎族自治县·抱由镇,邵逸夫先生已经去世四年了，却每年至少要被出殡一次，这真是对老先生生前做出巨大贡献的教育事业的莫大讽刺。;举报了，邵老14年就出殡了，这种谣言不怕良心遭报应？;沒群的我也转……;,2018/3/24 22:30,rumor
584人受伤、甘肃定西6.6级地震已造成75人遇难、截至目前！神情沮丧！据新华社。一个年轻人坐在鸟巢门口…… http,,2018/4/27 15:03,rumor
刚刚北京时间18日20时42分，我的家乡，四川省甘孜藏族自治州白玉县发生5.4级地震。目前还不知道有无伤亡，让我们一同祈祷，愿那里的众生一切平安！嗡嘛呢呗美哄！                  ,,2018/4/24 5:01,rumor
107岁邵逸夫先生出殡...一个赚够了中国人钱的外国人乔布斯去世的时候，我们铺天卷地的刷屏，而邵逸夫去世，却没人悼念，2008年汶川地震，他捐了1亿多，我们有千百个教学楼叫做“逸夫楼”，多少医院有“逸夫门诊楼＂，老人一生捐赠了千百亿医疗和教育设施。逸夫老先生，一路走好！ 转发致敬！,邵老走好！;;中国但凡念过书的，没人不知道他吧;,2018/3/10 9:04,rumor
震情通报：12月28日19时58分在安徽安庆市宿松县（北纬30.13度、东经116.18度）发生2.5级地震，震源深度7千米。晚上9点左右地震7.5级左右，大家一定保护安全措施【安徽台网------说还有7.5级，真的假的呀？,你就问问真的假的，然后就被举报不实信息啦;假的;,2017/12/28 21:15,rumor
通知：大家请注意，刚刚从别的群里得到的消息：太原12级地震的视频，不要打开，立即删除，是勒索病毒，特别是手机上有支付宝，刚刚新闻也在播了，大家都动手转到自己的每个群里，不要上当！！！！ 淄博·银泰城                 ,,2017/11/12 12:43,rumor
张家界又出事了？张家界不地震了么？哦，地震的那是九寨沟！张家界吊缆着火了？这是真的吗？ 冬季的贝加尔湖的微博视频,目测就你妈在里面;评到5000送你进去;这样你会坐牢的兄弟，删了吧;,2017/9/8 12:43,rumor
#地震快讯##峨眉山金口河地震#【四川乐山发生5级地震 峨眉山安好！】据@峨眉山景区：今日13时21分在四川省乐山市金口河区发生5.0级地震，震源深度14千米。@峨眉山景区 有震感，目前景区内无人员伤亡，基础设施完好，各景点和服务窗口正常有序运营。@四川发布 谢谢各界朋友们的关心，峨眉山一切安好！,,2017/7/18 21:40,rumor
大家注意：太原12级地震的视频，不要打开，立即删除，是勒索病毒，特别是手机上有支付宝，刚刚新闻也在播了，大家都动手转到自己的每个群里，不要上当！ 上海·张江,,2017/5/17 10:22,rumor
#紧急通知# 大家请注意，刚刚得到的消息：太原12级地震的视频，不要打开，立即删除，是勒索病毒，特别是手机上有支付宝，刚刚新闻也在播了，大家都动手转发一下，不要上当！                 ,;有没有一点常识，12级，，，;这种还发…智商呢;,2017/5/16 22:45,rumor
#小魏微语# #微提醒# 大家请注意了：太原12级地震的视频，不要打开，立即删除，是病毒，特别是手机上有支付宝，刚刚新闻也在播了，大家别上当！,已举报;,2017/5/15 19:11,rumor
大家请注意了，刚刚得到的消息：太原12级地震的视频，不要打开，立即删除，是病毒，特别是手机上有支付宝，刚刚新闻也在播了，大家都动手转到自己的每个群里，别上当！ 希望能帮助到大家！！！！！！🔔                 ,假的 别传了;,2017/5/16 21:21,rumor
#比特币勒索病毒# 太原12级地震的视频，不要打开，立即删除，是病毒，特别是手机上有支付宝，刚刚新闻也在播了，大家都动手转到自己的每个群里，别上当！#抗击比特币病毒#                 ,回复@fnhanwei:你有病吧。杀你妈啦？瞧把你激动的。键盘狗;你他妈的先过一下大脑好不，这是16年的谣言，你现在还修改后传，转发500次后第一个抓的就是你;,2017/5/15 22:10,rumor
新花活❤通知：大家請注意了，剛剛從別的群裏得到的消息：太原12级地震的視頻，不要打開，立即删除，是勒索病毒，特別是手機上有支付寶，剛剛新聞也在播了，大家都動手轉一下到自己的每個群裏，千萬別上當！ 乌鲁木齐·五星路公交站,,2017/5/16 19:02,rumor
